ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:      17       151.4717       334.2516       691.7962        20.2739          -6329.5121       -27.6009         0.0000         0.0000         0.0000          -5159.3197         0.0000     -5159.3197     -5159.3197         0.0000            200.5742       -53.9052   1000000.0000       200.5742       -53.9052
ENERGY:      18       112.3209       297.7871       691.2324        16.8992          -6277.1948       -14.5921         0.0000         0.0000         0.0000          -5173.5473         0.0000     -5173.5473     -5173.5473         0.0000            217.8069       -34.7553   1000000.0000       217.8069       -34.7553
ENERGY:      19       115.7864       301.0643       691.2649        17.2145          -6282.7239       -16.0438         0.0000         0.0000         0.0000          -5173.4376         0.0000     -5173.4376     -5173.4376         0.0000            216.0897       -36.6837   1000000.0000       216.0897       -36.6837
ENERGY:      20       112.8968       298.3324       691.2374        16.9519          -6278.1269       -14.8387         0.0000         0.0000         0.0000          -5173.5470         0.0000     -5173.5470     -5173.5470         0.0000            217.5183       -35.1096   1000000.0000       217.5183       -35.1096
ENERGY:      21       112.3209       297.7870       691.2323        16.8992          -6277.1920       -14.5922         0.0000         0.0000         0.0000          -5173.5447         0.0000     -5173.5447     -5173.5447         0.0000            217.8070       -34.7852   1000000.0000       217.8070       -34.7852
ENERGY:      22        54.8684       277.2864       691.6666        16.5359          -6324.7455       -24.6967         0.0000         0.0000         0.0000          -5309.0848         0.0000     -5309.0848     -5309.0848         0.0000            229.1241       -22.6193   1000000.0000       229.1241       -22.6193
ENERGY:      23        58.2492       270.5561       692.4092        16.5571          -6368.4074       -33.0023         0.0000         0.0000         0.0000          -5363.6381         0.0000     -5363.6381     -5363.6381         0.0000            237.1662       -13.7712   1000000.0000       237.1662       -13.7712
ENERGY:      24       118.4889       279.7498       693.4335        16.8721          -6408.1550       -39.5637         0.0000         0.0000         0.0000          -5339.1745         0.0000     -5339.1745     -5339.1745         0.0000            242.0118        -8.1629   1000000.0000       242.0118        -8.1629
ENERGY:      25        65.3767       270.9888       692.5807        16.5959          -6376.1437       -34.3693         0.0000         0.0000         0.0000          -5364.9709         0.0000     -5364.9709     -5364.9709         0.0000            238.3197       -12.4712   1000000.0000       238.3197       -12.4712
ENERGY:      26        60.9061       255.6046       690.7317        13.0951          -6427.6234       -43.6987         0.0000         0.0000         0.0000          -5450.9847         0.0000     -5450.9847     -5450.9847         0.0000            226.9118       -30.8820   1000000.0000       226.9118       -30.8820
ENERGY:      27       115.2345       263.5014       690.2659        11.6506          -6475.3192       -50.8003         0.0000         0.0000         0.0000          -5445.4670         0.0000     -5445.4670     -5445.4670         0.0000            211.9853       -52.9298   1000000.0000       211.9853       -52.9298
ENERGY:      28        77.6627       256.1282       690.3538        12.1747          -6449.0434       -47.0970         0.0000         0.0000         0.0000          -5459.8210         0.0000     -5459.8210     -5459.8210         0.0000            220.7778       -40.1326   1000000.0000       220.7778       -40.1326
ENERGY:      29        80.6058       256.5240       690.3251        12.0879          -6451.7242       -47.4987         0.0000         0.0000         0.0000          -5459.6801         0.0000     -5459.6801     -5459.6801         0.0000            219.9478       -41.3612   1000000.0000       219.9478       -41.3612
ENERGY:      30        77.9489       256.1644       690.3507        12.1657          -6449.3119       -47.1375         0.0000         0.0000         0.0000          -5459.8197         0.0000     -5459.8197     -5459.8197         0.0000            220.6953       -40.2549   1000000.0000       220.6953       -40.2549
ENERGY:      31        77.7237       256.1359       690.3531        12.1727          -6449.1007       -47.1056         0.0000         0.0000         0.0000          -5459.8208         0.0000     -5459.8208     -5459.8208         0.0000            220.7602       -40.1587   1000000.0000       220.7602       -40.1587
ENERGY:      32        77.6627       256.1282       690.3538        12.1747          -6449.0433       -47.0970         0.0000         0.0000         0.0000          -5459.8208         0.0000     -5459.8208     -5459.8208         0.0000            220.7778       -40.1326   1000000.0000       220.7778       -40.1326
ENERGY:      33        52.9088       241.8003       690.1527        10.2357          -6483.7131       -51.6485         0.0000         0.0000         0.0000          -5540.2641         0.0000     -5540.2641     -5540.2641         0.0000            221.6729       -40.0056   1000000.0000       221.6729       -40.0056
ENERGY:      34        75.3202       240.5031       690.5224         9.0206          -6516.4833       -54.9806         0.0000         0.0000         0.0000          -5556.0976         0.0000     -5556.0976     -5556.0976         0.0000            219.9364       -42.4092   1000000.0000       219.9364       -42.4092
ENERGY:      35       145.9519       251.0948       691.4495         8.5265          -6547.3113       -57.1390         0.0000         0.0000         0.0000          -5507.4275         0.0000     -5507.4275     -5507.4275         0.0000            215.5301       -47.3787   1000000.0000       215.5301       -47.3787
ENERGY:      36        65.0886       239.6648       690.3753         9.2612          -6508.2706       -54.2480         0.0000         0.0000         0.0000          -5558.1289         0.0000     -5558.1289     -5558.1289         0.0000            220.6308       -41.5546   1000000.0000       220.6308       -41.5546
ENERGY:      37        55.8394       227.7361       689.8775         7.7544          -6554.5017       -59.0759         0.0000         0.0000         0.0000          -5632.3702         0.0000     -5632.3702     -5632.3702         0.0000            211.5880       -52.0533   1000000.0000       211.5880       -52.0533
ENERGY:      38       101.9665       231.5914       690.0796         7.0866          -6597.6200       -61.7112         0.0000         0.0000         0.0000          -5628.6070         0.0000     -5628.6070     -5628.6070         0.0000            199.6606       -65.3808   1000000.0000       199.6606       -65.3808
ENERGY:      39        69.8841       227.4410       689.8810         7.3465          -6574.3542       -60.5446         0.0000         0.0000         0.0000          -5640.3463         0.0000     -5640.3463     -5640.3463         0.0000            206.5526       -57.7287   1000000.0000       206.5526       -57.7287
ENERGY:      40        51.0591       221.0919       689.5380         8.2225          -6643.2279       -67.1431         0.0000         0.0000         0.0000          -5740.4596         0.0000     -5740.4596     -5740.4596         0.0000            199.2571       -64.3552   1000000.0000       199.2571       -64.3552
ENERGY:      41        97.9812       235.6334       690.2691        10.3650          -6704.2324       -69.2290         0.0000         0.0000         0.0000          -5739.2126         0.0000     -5739.2126     -5739.2126         0.0000            188.7270       -74.0069   1000000.0000       188.7270       -74.0069
ENERGY:      42        65.7214       225.6716       689.7564         9.1114          -6673.9060       -68.7318         0.0000         0.0000         0.0000          -5752.3770         0.0000     -5752.3770     -5752.3770         0.0000            194.5241       -68.6816   1000000.0000       194.5241       -68.6816
ENERGY:      43        51.1430       219.3650       689.7398        11.0303          -6741.0185       -74.4393         0.0000         0.0000         0.0000          -5844.1797         0.0000     -5844.1797     -5844.1797         0.0000            180.9404       -85.3402   1000000.0000       180.9404       -85.3402
ENERGY:      44        91.8173       229.1965       690.3613        13.8151          -6800.6814       -76.6786         0.0000         0.0000         0.0000          -5852.1697         0.0000     -5852.1697     -5852.1697         0.0000            164.7112      -104.4324   1000000.0000       164.7112      -104.4324
ENERGY:      45       186.7038       256.4167       691.6491        17.4447          -6852.6390       -75.3644         0.0000         0.0000         0.0000          -5775.7892         0.0000     -5775.7892     -5775.7892         0.0000            145.8906      -125.8831   1000000.0000       145.8906      -125.8831
ENERGY:      46        68.7509       223.1927       690.0279        12.5838          -6777.1259       -76.2070         0.0000         0.0000         0.0000          -5858.7776         0.0000     -5858.7776     -5858.7776         0.0000            171.6002       -96.4100   1000000.0000       171.6002       -96.4100
ENERGY:      47        70.6551       223.6668       690.0561        12.7006          -6779.5135       -76.2813         0.0000         0.0000         0.0000          -5858.7163         0.0000     -5858.7163     -5858.7163         0.0000            170.9306       -97.1947   1000000.0000       170.9306       -97.1947
ENERGY:      48        68.9372       223.2389       690.0307        12.5954          -6777.3649       -76.2147         0.0000         0.0000         0.0000          -5858.7774         0.0000     -5858.7774     -5858.7774         0.0000            171.5335       -96.4882   1000000.0000       171.5335       -96.4882
ENERGY:      49        61.6413       216.9986       690.7298        12.2416          -6834.1552       -80.8003         0.0000         0.0000         0.0000          -5933.3442         0.0000     -5933.3442     -5933.3442         0.0000            175.5902       -94.1774   1000000.0000       175.5902       -94.1774
ENERGY:      50       107.4565       224.0584       691.9239        13.2795          -6885.0182       -82.6005         0.0000         0.0000         0.0000          -5930.9005         0.0000     -5930.9005     -5930.9005         0.0000            176.9205       -94.4889   1000000.0000       176.9205       -94.4889
ENERGY:      51        76.4192       218.6980       691.2342        12.5995          -6858.6939       -81.9913         0.0000         0.0000         0.0000          -5941.7343         0.0000     -5941.7343     -5941.7343         0.0000            176.5542       -94.0572   1000000.0000       176.5542       -94.0572
ENERGY:      52        66.1708       225.6683       690.3621        11.5906          -6916.6147       -86.7099         0.0000         0.0000         0.0000          -6009.5328         0.0000     -6009.5328     -6009.5328         0.0000            164.8646      -112.8054   1000000.0000       164.8646      -112.8054
ENERGY:      53       118.0553       250.6950       690.0660        12.3862          -6968.0205       -87.3181         0.0000         0.0000         0.0000          -5984.1361         0.0000     -5984.1361     -5984.1361         0.0000            150.0159      -134.5566   1000000.0000       150.0159      -134.5566
ENERGY:      54        72.5958       229.7587       690.2421        11.5873          -6928.9033       -87.2125         0.0000         0.0000         0.0000          -6011.9318         0.0000     -6011.9318     -6011.9318         0.0000            161.7492      -117.5103   1000000.0000       161.7492      -117.5103
ENERGY:      55        75.4953       231.3552       690.2083        11.6084          -6932.9915       -87.3332         0.0000         0.0000         0.0000          -6011.6575         0.0000     -6011.6575     -6011.6575         0.0000            160.6602      -119.1343   1000000.0000       160.6602      -119.1343
ENERGY:      56        72.8692       229.9134       690.2386        11.5889          -6929.3135       -87.2257         0.0000         0.0000         0.0000          -6011.9290         0.0000     -6011.9290     -6011.9290         0.0000            161.6412      -117.6719   1000000.0000       161.6412      -117.6719
ENERGY:      57        72.6301       229.7781       690.2417        11.5875          -6928.9548       -87.2142         0.0000         0.0000         0.0000          -6011.9316         0.0000     -6011.9316     -6011.9316         0.0000            161.7356      -117.5307   1000000.0000       161.7356      -117.5307
ENERGY:      58        72.5958       229.7587       690.2421        11.5873          -6928.9030       -87.2125         0.0000         0.0000         0.0000          -6011.9315         0.0000     -6011.9315     -6011.9315         0.0000            161.7492      -117.5103   1000000.0000       161.7492      -117.5103
ENERGY:      59        69.2367       229.0430       689.1321         8.9235          -6991.9414       -88.3588         0.0000         0.0000         0.0000          -6083.9649         0.0000     -6083.9649     -6083.9649         0.0000            158.5479      -124.5359   1000000.0000       158.5479      -124.5359
ENERGY:      60       145.7308       255.8429       689.3640         8.6075          -7045.0917       -83.3487         0.0000         0.0000         0.0000          -6028.8951         0.0000     -6028.8951     -6028.8951         0.0000            150.9138      -135.5321   1000000.0000       150.9138      -135.5321
ENERGY:      61        73.2818       230.5066       689.0962         8.7893          -6997.6327       -88.1421         0.0000         0.0000         0.0000          -6084.1010         0.0000     -6084.1010     -6084.1010         0.0000            157.9844      -125.4508   1000000.0000       157.9844      -125.4508
ENERGY:      62        71.6726       229.9250       689.1095         8.8368          -6995.4800       -88.2315         0.0000         0.0000         0.0000          -6084.1677         0.0000     -6084.1677     -6084.1677         0.0000            158.2014      -125.0997   1000000.0000       158.2014      -125.0997
ENERGY:      63        71.8910       230.0041       689.1075         8.8299          -6995.7820       -88.2195         0.0000         0.0000         0.0000          -6084.1690         0.0000     -6084.1690     -6084.1690         0.0000            158.1715      -125.1484   1000000.0000       158.1715      -125.1484
ENERGY:      64        79.1020       232.4741       688.1233         8.5641          -7058.2278       -87.5317         0.0000         0.0000         0.0000          -6137.4961         0.0000     -6137.4961     -6137.4961         0.0000            143.5594      -140.5755   1000000.0000       143.5594      -140.5755
ENERGY:      65       173.7377       256.7115       688.1062        10.2022          -7112.6122       -81.4680         0.0000         0.0000         0.0000          -6065.3227         0.0000     -6065.3227     -6065.3227         0.0000            124.4742      -159.9751   1000000.0000       124.4742      -159.9751
ENERGY:      66        74.4407       231.2669       688.1861         8.5118          -7052.2580       -87.8373         0.0000         0.0000         0.0000          -6137.6898         0.0000     -6137.6898     -6137.6898         0.0000            145.2268      -138.8474   1000000.0000       145.2268      -138.8474
ENERGY:      67        75.8698       231.6371       688.1661         8.5267          -7054.1964       -87.7436         0.0000         0.0000         0.0000          -6137.7403         0.0000     -6137.7403     -6137.7403         0.0000            144.6868      -139.4074   1000000.0000       144.6868      -139.4074
ENERGY:      68        75.7110       231.5961       688.1682         8.5250          -7053.9875       -87.7540         0.0000         0.0000         0.0000          -6137.7413         0.0000     -6137.7413     -6137.7413         0.0000            144.7454      -139.3467   1000000.0000       144.7454      -139.3467
ENERGY:      69        81.6164       239.9071       687.2287        10.5756          -7124.5010       -87.2130         0.0000         0.0000         0.0000          -6192.3862         0.0000     -6192.3862     -6192.3862         0.0000            136.8141      -144.2250   1000000.0000       136.8141      -144.2250
ENERGY:      70       179.6599       274.8279       687.6286        14.2775          -7184.1205       -80.1979         0.0000         0.0000         0.0000          -6107.9245         0.0000     -6107.9245     -6107.9245         0.0000            123.9336      -153.6177   1000000.0000       123.9336      -153.6177
ENERGY:      71        76.6021       237.7211       687.2732        10.2776          -7117.3608       -87.5722         0.0000         0.0000         0.0000          -6193.0590         0.0000     -6193.0590     -6193.0590         0.0000            137.9013      -143.4804   1000000.0000       137.9013      -143.4804
ENERGY:      72        84.6875       249.3586       685.5646        12.7106          -7195.5289       -84.2194         0.0000         0.0000         0.0000          -6247.4271         0.0000     -6247.4271     -6247.4271         0.0000            128.3809      -158.1688   1000000.0000       128.3809      -158.1688
ENERGY:      73       194.4132       289.7933       685.1821        16.8451          -7259.7883       -73.2706         0.0000         0.0000         0.0000          -6146.8253         0.0000     -6146.8253     -6146.8253         0.0000            113.3699      -177.6891   1000000.0000       113.3699      -177.6891
ENERGY:      74        77.1303       245.8421       685.7423        12.2474          -7184.7407       -85.1791         0.0000         0.0000         0.0000          -6248.9577         0.0000     -6248.9577     -6248.9577         0.0000            130.1297      -155.6938   1000000.0000       130.1297      -155.6938
ENERGY:      75        77.7871       246.1645       685.7241        12.2920          -7185.8202       -85.0905         0.0000         0.0000         0.0000          -6248.9430         0.0000     -6248.9430     -6248.9430         0.0000            129.9603      -155.9359   1000000.0000       129.9603      -155.9359
ENERGY:      76        77.1950       245.8741       685.7405        12.2518          -7184.8486       -85.1703         0.0000         0.0000         0.0000          -6248.9576         0.0000     -6248.9576     -6248.9576         0.0000            130.1129      -155.7179   1000000.0000       130.1129      -155.7179
ENERGY:      77        89.3780       247.3961       684.5879        12.2620          -7253.1936       -80.6415         0.0000         0.0000         0.0000          -6300.2111         0.0000     -6300.2111     -6300.2111         0.0000            139.2573      -152.4186   1000000.0000       139.2573      -152.4186
ENERGY:      78       189.9823       275.3463       684.6227        13.7550          -7308.8143       -69.4800         0.0000         0.0000         0.0000          -6214.5880         0.0000     -6214.5880     -6214.5880         0.0000            143.4222      -153.6631   1000000.0000       143.4222      -153.6631
ENERGY:      79        83.0563       245.7592       684.6738        12.1788          -7245.2956       -81.5513         0.0000         0.0000         0.0000          -6301.1788         0.0000     -6301.1788     -6301.1788         0.0000            138.3988      -152.5686   1000000.0000       138.3988      -152.5686
ENERGY:      80        83.6272       245.9033       684.6649        12.1861          -7246.0862       -81.4648         0.0000         0.0000         0.0000          -6301.1694         0.0000     -6301.1694     -6301.1694         0.0000            138.4882      -152.4655   1000000.0000       138.4882      -152.4655
ENERGY:      81        83.1128       245.7734       684.6729        12.1795          -7245.3747       -81.5427         0.0000         0.0000         0.0000          -6301.1788         0.0000     -6301.1788     -6301.1788         0.0000            138.4078      -152.4821   1000000.0000       138.4078      -152.4821
ENERGY:      82        85.8504       257.4202       683.1604        11.0617          -7307.0746       -74.9289         0.0000         0.0000         0.0000          -6344.5109         0.0000     -6344.5109     -6344.5109         0.0000            138.5383      -156.3694   1000000.0000       138.5383      -156.3694
ENERGY:      83       180.0057       293.1561       682.7477        11.0825          -7357.3380       -61.8418         0.0000         0.0000         0.0000          -6252.1878         0.0000     -6252.1878     -6252.1878         0.0000            133.5531      -164.7394   1000000.0000       133.5531      -164.7394
ENERGY:      84        78.6335       253.5460       683.3558        11.1809          -7296.7591       -76.5710         0.0000         0.0000         0.0000          -6346.6138         0.0000     -6346.6138     -6346.6138         0.0000            138.9003      -155.3279   1000000.0000       138.9003      -155.3279
ENERGY:      85        79.2232       253.8966       683.3350        11.1674          -7297.7997       -76.4159         0.0000         0.0000         0.0000          -6346.5934         0.0000     -6346.5934     -6346.5934         0.0000            138.8720      -155.4247   1000000.0000       138.8720      -155.4247
ENERGY:      86        78.6912       253.5807       683.3537        11.1795          -7296.8633       -76.5555         0.0000         0.0000         0.0000          -6346.6137         0.0000     -6346.6137     -6346.6137         0.0000            138.8975      -155.3375   1000000.0000       138.8975      -155.3375
ENERGY:      87        81.3467       253.4168       682.6437         9.0889          -7353.3714       -66.6282         0.0000         0.0000         0.0000          -6393.5034         0.0000     -6393.5034     -6393.5034         0.0000            129.7752      -166.8214   1000000.0000       129.7752      -166.8214
ENERGY:      88       158.7045       275.7829       683.0869         8.5706          -7399.1542       -50.3565         0.0000         0.0000         0.0000          -6323.3659         0.0000     -6323.3659     -6323.3659         0.0000            116.1626      -182.1877   1000000.0000       116.1626      -182.1877
ENERGY:      89        77.7061       252.4199       682.6673         9.2279          -7348.1297       -67.8949         0.0000         0.0000         0.0000          -6394.0033         0.0000     -6394.0033     -6394.0033         0.0000            130.8952      -165.4892   1000000.0000       130.8952      -165.4892
ENERGY:      90        78.0365       252.5090       682.6648         9.2133          -7348.6532       -67.7710         0.0000         0.0000         0.0000          -6394.0007         0.0000     -6394.0007     -6394.0007         0.0000            130.7853      -165.6204   1000000.0000       130.7853      -165.6204
ENERGY:      91        77.7944       252.4437       682.6666         9.2240          -7348.2709       -67.8615         0.0000         0.0000         0.0000          -6394.0037         0.0000     -6394.0037     -6394.0037         0.0000            130.8657      -165.5246   1000000.0000       130.8657      -165.5246
ENERGY:      92        92.4073       245.6990       682.0629         8.3039          -7408.9605       -55.2002         0.0000         0.0000         0.0000          -6435.6876         0.0000     -6435.6876     -6435.6876         0.0000            130.5706      -165.5155   1000000.0000       130.5706      -165.5155
ENERGY:      93       187.8502       262.5922       682.6215         9.0325          -7458.8987       -35.2079         0.0000         0.0000         0.0000          -6352.0102         0.0000     -6352.0102     -6352.0102         0.0000            125.6094      -169.6210   1000000.0000       125.6094      -169.6210
ENERGY:      94        84.4292       245.1776       682.0886         8.3420          -7399.5700       -57.7783         0.0000         0.0000         0.0000          -6437.3109         0.0000     -6437.3109     -6437.3109         0.0000            130.9504      -165.2195   1000000.0000       130.9504      -165.2195
ENERGY:      95        85.1273       245.2005       682.0849         8.3361          -7400.5167       -57.5295         0.0000         0.0000         0.0000          -6437.2973         0.0000     -6437.2973     -6437.2973         0.0000            130.9183      -165.2437   1000000.0000       130.9183      -165.2437
ENERGY:      96        84.4980       245.1796       682.0882         8.3413          -7399.6646       -57.7535         0.0000         0.0000         0.0000          -6437.3109         0.0000     -6437.3109     -6437.3109         0.0000            130.9473      -165.2219   1000000.0000       130.9473      -165.2219
ENERGY:      97        89.1960       244.9668       680.3442         9.4534          -7456.2978       -43.5870         0.0000         0.0000         0.0000          -6475.9243         0.0000     -6475.9243     -6475.9243         0.0000            125.4413      -172.8467   1000000.0000       125.4413      -172.8467
ENERGY:      98       169.6015       265.9052       679.7927        12.1806          -7502.8836       -22.2807         0.0000         0.0000         0.0000          -6397.6842         0.0000     -6397.6842     -6397.6842         0.0000            115.5369      -184.2501   1000000.0000       115.5369      -184.2501
ENERGY:      99        83.0875       243.5474       680.5617         9.1576          -7447.3972       -46.4410         0.0000         0.0000         0.0000          -6477.4839         0.0000     -6477.4839     -6477.4839         0.0000            126.6866      -171.2852   1000000.0000       126.6866      -171.2852
ENERGY:     100        83.6018       243.6626       680.5389         9.1851          -7448.2947       -46.1646         0.0000         0.0000         0.0000          -6477.4710         0.0000     -6477.4710     -6477.4710         0.0000            126.5680       129.2627   1000000.0000       126.5680       129.2627
ENERGY:     101        83.1380       243.5586       680.5594         9.1604          -7447.4868       -46.4134         0.0000         0.0000         0.0000          -6477.4839         0.0000     -6477.4839     -6477.4839         0.0000            126.6749       129.3639   1000000.0000       126.6749       129.3639
ENERGY:     102       102.4321       242.0606       680.0335         8.6277          -7452.6054       -48.9245         0.0000         0.0000         0.0000          -6468.3760         0.0000     -6468.3760     -6468.3760         0.0000            136.2649       139.3376   1000000.0000       136.2649       139.3376
ENERGY:     103        75.4670       240.5680       680.2816         8.7987          -7449.7688       -47.5973         0.0000         0.0000         0.0000          -6492.2508         0.0000     -6492.2508     -6492.2508         0.0000            131.7590       134.6582   1000000.0000       131.7590       134.6582
ENERGY:     104       116.9858       277.1204       678.9640        18.6278          -7492.7787       -55.9121         0.0000         0.0000         0.0000          -6456.9928         0.0000     -6456.9928     -6456.9928         0.0000            140.9869       128.7344   1000000.0000       140.9869       128.7344
ENERGY:     105        74.1303       240.4988       678.8337         9.9330          -7468.3341       -52.5377         0.0000         0.0000         0.0000          -6517.4760         0.0000     -6517.4760     -6517.4760         0.0000            136.7691       134.1430   1000000.0000       136.7691       134.1430
ENERGY:     106        75.9400       242.1476       678.7160        10.4260          -7471.0202       -53.1067         0.0000         0.0000         0.0000          -6516.8973         0.0000     -6516.8973     -6516.8973         0.0000            137.3857       133.8547   1000000.0000       137.3857       133.8547
ENERGY:     107        74.2867       240.6436       678.8206         9.9785          -7468.6051       -52.5969         0.0000         0.0000         0.0000          -6517.4726         0.0000     -6517.4726     -6517.4726         0.0000            136.8326       134.1166   1000000.0000       136.8326       134.1166
ENERGY:     108        74.1690       240.5348       678.8304         9.9443          -7468.4020       -52.5526         0.0000         0.0000         0.0000          -6517.4761         0.0000     -6517.4761     -6517.4761         0.0000            136.7851       134.1364   1000000.0000       136.7851       134.1364
ENERGY:     109       114.4135       261.6273       677.7866        13.9278          -7517.8863       -56.1136         0.0000         0.0000         0.0000          -6506.2447         0.0000     -6506.2447     -6506.2447         0.0000            152.1446       149.6356   1000000.0000       152.1446       149.6356
ENERGY:     110        73.2177       240.7232       677.9822        11.4265          -7492.5328       -55.3543         0.0000         0.0000         0.0000          -6544.5376         0.0000     -6544.5376     -6544.5376         0.0000            144.9353       142.6373   1000000.0000       144.9353       142.6373
ENERGY:     111       108.4468       240.3598       678.6229        12.9491          -7545.9151       -50.3166         0.0000         0.0000         0.0000          -6555.8531         0.0000     -6555.8531     -6555.8531         0.0000            124.3816       126.8127   1000000.0000       124.3816       126.8127
ENERGY:     112       253.6878       298.6147       682.6504        21.5703          -7582.9974       -34.1403         0.0000         0.0000         0.0000          -6360.6145         0.0000     -6360.6145     -6360.6145         0.0000             97.8134       102.7278   1000000.0000        97.8134       102.7278
ENERGY:     113        79.1248       233.2634       677.9147        11.3948          -7523.9968       -53.9429         0.0000         0.0000         0.0000          -6576.2420         0.0000     -6576.2420     -6576.2420         0.0000            134.2769       134.8791   1000000.0000       134.2769       134.8791
ENERGY:     114        81.0702       233.4406       677.9551        11.4864          -7526.3300       -53.6804         0.0000         0.0000         0.0000          -6576.0582         0.0000     -6576.0582     -6576.0582         0.0000            133.3409       134.1466   1000000.0000       133.3409       134.1466
ENERGY:     115        79.3095       233.2759       677.9184        11.4033          -7524.2316       -53.9177         0.0000         0.0000         0.0000          -6576.2422         0.0000     -6576.2422     -6576.2422         0.0000            134.1838       134.8065   1000000.0000       134.1838       134.8065
ENERGY:     116       108.8996       236.5786       677.3388        11.2394          -7567.6137       -46.7064         0.0000         0.0000         0.0000          -6580.2637         0.0000     -6580.2637     -6580.2637         0.0000            123.9278       130.9199   1000000.0000       123.9278       130.9199
ENERGY:     117       269.1250       273.7853       678.0811        14.2844          -7597.6997       -30.7831         0.0000         0.0000         0.0000          -6393.2070         0.0000     -6393.2070     -6393.2070         0.0000            107.0885       119.6370   1000000.0000       107.0885       119.6370
